ORGANIZATION_ID,REPORT_ID,REPORTING_UNIT_ID,SUMMARY_SEQ,BENEFICIAL_USE_ID,FRESH_SALINE_IND,SOURCE_TYPE,POWER_GENERATED,POPULATION_SERVED,WFS_FEATURE_REF
TWDB,2015,20,1,11,1,1,,,
TWDB,2015,21,1,11,1,1,,,
TWDB,2015,22,1,11,1,1,,,
TWDB,2015,23,1,11,1,1,,,
TWDB,2015,0,1,12,1,1,,,
TWDB,2015,1,1,12,1,1,,,
TWDB,2015,2,1,12,1,1,,,
TWDB,2015,3,1,12,1,1,,,
TWDB,2015,4,1,12,1,1,,,
TWDB,2015,5,1,12,1,1,,,
TWDB,2015,6,1,12,1,1,,,
TWDB,2015,7,1,12,1,1,,,
TWDB,2015,8,1,12,1,1,,,
TWDB,2015,9,1,12,1,1,,,
TWDB,2015,10,1,12,1,1,,,
TWDB,2015,11,1,12,1,1,,,
TWDB,2015,12,1,12,1,1,,,
TWDB,2015,13,1,12,1,1,,,
TWDB,2015,14,1,12,1,1,,,
TWDB,2015,15,1,12,1,1,,,
TWDB,2015,16,1,12,1,1,,,
TWDB,2015,17,1,12,1,1,,,
TWDB,2015,18,1,12,1,1,,,
TWDB,2015,19,1,12,1,1,,,
TWDB,2015,20,1,12,1,1,,,
TWDB,2015,21,1,12,1,1,,,
TWDB,2015,22,1,12,1,1,,,
TWDB,2015,23,1,12,1,1,,,
TWDB,2015,0,1,1,1,1,,,
TWDB,2015,1,1,1,1,1,,,
TWDB,2015,2,1,1,1,1,,,
TWDB,2015,3,1,1,1,1,,,
TWDB,2015,4,1,1,1,1,,,
TWDB,2015,5,1,1,1,1,,,
TWDB,2015,6,1,1,1,1,,,
TWDB,2015,7,1,1,1,1,,,
TWDB,2015,8,1,1,1,1,,,
TWDB,2015,9,1,1,1,1,,,
TWDB,2015,10,1,1,1,1,,,
TWDB,2015,11,1,1,1,1,,,
TWDB,2015,12,1,1,1,1,,,
TWDB,2015,13,1,1,1,1,,,
TWDB,2015,14,1,1,1,1,,,
TWDB,2015,15,1,1,1,1,,,
TWDB,2015,16,1,1,1,1,,,
TWDB,2015,17,1,1,1,1,,,
TWDB,2015,18,1,1,1,1,,,
TWDB,2015,19,1,1,1,1,,,
TWDB,2015,20,1,1,1,1,,,
TWDB,2015,21,1,1,1,1,,,
TWDB,2015,22,1,1,1,1,,,
TWDB,2015,23,1,1,1,1,,,
TWDB,2015,0,1,2,1,1,,,
TWDB,2015,1,1,2,1,1,,,
TWDB,2015,2,1,2,1,1,,,
TWDB,2015,3,1,2,1,1,,,
TWDB,2015,4,1,2,1,1,,,
TWDB,2015,5,1,2,1,1,,,
TWDB,2015,6,1,2,1,1,,,
TWDB,2015,7,1,2,1,1,,,
TWDB,2015,8,1,2,1,1,,,
TWDB,2015,9,1,2,1,1,,,
TWDB,2015,10,1,2,1,1,,,
TWDB,2015,11,1,2,1,1,,,
TWDB,2015,12,1,2,1,1,,,
TWDB,2015,13,1,2,1,1,,,
TWDB,2015,14,1,2,1,1,,,
TWDB,2015,15,1,2,1,1,,,
TWDB,2015,16,1,2,1,1,,,
TWDB,2015,17,1,2,1,1,,,
TWDB,2015,18,1,2,1,1,,,
TWDB,2015,19,1,2,1,1,,,
TWDB,2015,20,1,2,1,1,,,
TWDB,2015,21,1,2,1,1,,,
TWDB,2015,22,1,2,1,1,,,
TWDB,2015,23,1,2,1,1,,,
TWDB,2015,0,1,3,1,1,,,
TWDB,2015,1,1,3,1,1,,,
TWDB,2015,2,1,3,1,1,,,
TWDB,2015,3,1,3,1,1,,,
TWDB,2015,4,1,3,1,1,,,
TWDB,2015,5,1,3,1,1,,,
TWDB,2015,6,1,3,1,1,,,
TWDB,2015,7,1,3,1,1,,,
TWDB,2015,8,1,3,1,1,,,
TWDB,2015,9,1,3,1,1,,,
TWDB,2015,10,1,3,1,1,,,
TWDB,2015,11,1,3,1,1,,,
TWDB,2015,12,1,3,1,1,,,
TWDB,2015,13,1,3,1,1,,,
TWDB,2015,14,1,3,1,1,,,
TWDB,2015,15,1,3,1,1,,,
TWDB,2015,16,1,3,1,1,,,
TWDB,2015,17,1,3,1,1,,,
TWDB,2015,18,1,3,1,1,,,
TWDB,2015,19,1,3,1,1,,,
TWDB,2015,20,1,3,1,1,,,
TWDB,2015,21,1,3,1,1,,,
TWDB,2015,22,1,3,1,1,,,
TWDB,2015,23,1,3,1,1,,,
TWDB,2015,0,1,4,1,1,,,
TWDB,2015,1,1,4,1,1,,,
TWDB,2015,2,1,4,1,1,,,
TWDB,2015,3,1,4,1,1,,,
TWDB,2015,4,1,4,1,1,,,
TWDB,2015,5,1,4,1,1,,,
TWDB,2015,6,1,4,1,1,,,
TWDB,2015,7,1,4,1,1,,,
TWDB,2015,8,1,4,1,1,,,
TWDB,2015,9,1,4,1,1,,,
TWDB,2015,10,1,4,1,1,,,
TWDB,2015,11,1,4,1,1,,,
TWDB,2015,12,1,4,1,1,,,
TWDB,2015,13,1,4,1,1,,,
TWDB,2015,14,1,4,1,1,,,
TWDB,2015,15,1,4,1,1,,,
TWDB,2015,16,1,4,1,1,,,
TWDB,2015,17,1,4,1,1,,,
TWDB,2015,18,1,4,1,1,,,
TWDB,2015,19,1,4,1,1,,,
TWDB,2015,20,1,4,1,1,,,
TWDB,2015,21,1,4,1,1,,,
TWDB,2015,22,1,4,1,1,,,
TWDB,2015,23,1,4,1,1,,,
TWDB,2015,0,1,5,1,1,,,
TWDB,2015,1,1,5,1,1,,,
TWDB,2015,2,1,5,1,1,,,
TWDB,2015,3,1,5,1,1,,,
TWDB,2015,4,1,5,1,1,,,
TWDB,2015,5,1,5,1,1,,,
TWDB,2015,6,1,5,1,1,,,
TWDB,2015,7,1,5,1,1,,,
TWDB,2015,8,1,5,1,1,,,
TWDB,2015,9,1,5,1,1,,,
TWDB,2015,10,1,5,1,1,,,
TWDB,2015,11,1,5,1,1,,,
TWDB,2015,12,1,5,1,1,,,
TWDB,2015,13,1,5,1,1,,,
TWDB,2015,14,1,5,1,1,,,
TWDB,2015,15,1,5,1,1,,,
TWDB,2015,16,1,5,1,1,,,
TWDB,2015,17,1,5,1,1,,,
TWDB,2015,18,1,5,1,1,,,
TWDB,2015,19,1,5,1,1,,,
TWDB,2015,20,1,5,1,1,,,
TWDB,2015,21,1,5,1,1,,,
TWDB,2015,22,1,5,1,1,,,
TWDB,2015,23,1,5,1,1,,,
TWDB,2015,0,1,6,1,1,,,
TWDB,2015,1,1,6,1,1,,,
TWDB,2015,2,1,6,1,1,,,
TWDB,2015,3,1,6,1,1,,,
TWDB,2015,4,1,6,1,1,,,
TWDB,2015,5,1,6,1,1,,,
TWDB,2015,6,1,6,1,1,,,
TWDB,2015,7,1,6,1,1,,,
TWDB,2015,8,1,6,1,1,,,
TWDB,2015,9,1,6,1,1,,,
TWDB,2015,10,1,6,1,1,,,
TWDB,2015,11,1,6,1,1,,,
TWDB,2015,12,1,6,1,1,,,
TWDB,2015,13,1,6,1,1,,,
TWDB,2015,14,1,6,1,1,,,
TWDB,2015,15,1,6,1,1,,,
TWDB,2015,16,1,6,1,1,,,
TWDB,2015,17,1,6,1,1,,,
TWDB,2015,18,1,6,1,1,,,
TWDB,2015,19,1,6,1,1,,,
TWDB,2015,20,1,6,1,1,,,
TWDB,2015,21,1,6,1,1,,,
TWDB,2015,22,1,6,1,1,,,
TWDB,2015,23,1,6,1,1,,,
